source,campaign,region,locality,preferred_doctor_gender,reason_for_visit,patient_insured,number_of_match_results,out_network_results_shown,in_network_results_shown,avg_distance_overall,appointment_requested
facebook,san_diego_doctor_patient_acquisition,San Jose,San Jose,No Pref,Specific Treatment,f,9,0,0,10547.21951,f
facebook,san_diego_doctor_patient_acquisition,San Diego,Chula Vista,F,Checkup,f,2,0,0,20784.61772,f
try.healthcare.com,Unknown,Austin,Austin,No Pref,Checkup,t,9,8,1,8014.945931,t
facebook,denver_doctor_patient_acquisition,Denver,Golden,No Pref,Specific Treatment,t,8,2,6,16651.15875,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,F,Checkup,f,9,0,0,5216.934559,f
Direct,Unknown,San Francisco,San Francisco,No Pref,Urgent Issue,t,9,8,1,2150.607797,f
facebook,chicago_doctor_patient_acquisition,Chicago,Hanover Park,F,Checkup,t,3,2,1,21242.31032,f
Direct,Unknown,San Francisco,San Francisco,No Pref,Urgent Issue,t,9,5,4,2150.607797,f
www.healthcare.com,Unknown,Seattle,Renton,No Pref,Checkup,t,9,3,6,9143.70618,f
adwords,search_chicago_local,Chicago,Ottawa,No Pref,Urgent Issue,t,0,0,0,,f
facebook,austin_doctor_patient_acquisition,Denver,Denver,No Pref,Checkup,t,9,3,6,6988.795215000001,t
jan_2018_high_offer,jan_2018_high_offer,Seattle,Seattle,No Pref,Checkup,t,9,6,3,5475.423772,t
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,3506.80714,f
Direct,Unknown,San Francisco,San Francisco,No Pref,Checkup,t,9,1,8,1700.9693,t
facebook,seattle_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,6,3,3573.7658060000012,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,6689.113727,f
growsumo,Unknown,San Francisco,San Francisco,M,Checkup,t,4,3,1,2393.960273,t
Patients,Unknown,Denver,Denver,No Pref,Checkup,t,9,6,3,6988.795215000001,t
patient_leads_may_2018,patient_leads_may_2018,San Francisco,San Francisco,No Pref,Checkup,t,9,1,8,1700.9693,t
l.facebook.com,Unknown,Austin,Austin,M,Specific Treatment,f,6,0,0,12523.29154,f
adwords,search_chicago_local,Chicago,Chicago,No Pref,Urgent Issue,f,9,0,0,17368.752940000002,f
facebook,chicago_doctor_patient_acquisition,Chicago,Chicago,No Pref,Checkup,t,9,0,9,3512.7935340000013,f
patient_leads_may_2018,patient_leads_may_2018,Austin,Katy,No Pref,Checkup,t,0,0,0,,f
patient_leads_may_2018,patient_leads_may_2018,Austin,Austin,No Pref,Checkup,t,9,0,9,11937.56944,t
adwords,search_chicago_local,Chicago,Chicago,No Pref,Specific Treatment,t,9,0,9,6442.317491,t
facebook,chicago_doctor_patient_acquisition,Chicago,Arlington Heights,No Pref,Checkup,t,9,3,6,17149.96952,f
SEO - C/S Page,Unknown,Chicago,Chicago,No Pref,Checkup,t,9,1,8,11159.35477,t
adwords,search_seattle_metro,Seattle,Kent,No Pref,Urgent Issue,t,9,8,1,13593.449530000002,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,4,5,7359.719802,f
facebook,denver_doctor_patient_acquisition,Denver,Englewood,F,Checkup,t,5,2,3,19922.12839,f
facebook,seattle_doctor_patient_acquisition,Seattle,Renton,No Pref,Checkup,t,9,0,9,9143.70618,f
www.healthcare.com,chicago_doctor_patient_acquisition,Chicago,Chicago,M,Urgent Issue,t,9,4,5,3180.181944,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,f,9,0,0,8788.974546,t
facebook,seattle_doctor_patient_acquisition,Seattle,Seattle,No Pref,Checkup,t,9,0,9,6979.379389,t
facebook,sanfrancisco_doctor_patient_acquisition,San Francisco,San Francisco,No Pref,Specific Treatment,t,9,1,8,3919.979504,f
facebook,us_doctor_patient_ad_testing,Seattle,Seattle,No Pref,Checkup,t,9,1,8,7541.084343,f
facebook,austin_doctor_patient_acquisition,Austin,Austin,No Pref,Checkup,t,9,5,4,7359.719802,f
Patients,Unknown,San Francisco,San Francisco,No Pref,Checkup,t,9,4,5,2578.654705,f
facebook,chicago_doctor_patient_acquisition,Chicago,Oak Lawn,No Pref,Specific Treatment,f,9,0,0,15912.01781,t
