Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
Crops,8,Antigua and Barbuda,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1425,Im,FAO data based on imputation methodology
Crops,9,Argentina,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2161,Im,FAO data based on imputation methodology
Crops,10,Australia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,42515,,Official data
Crops,12,Bahamas,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2558,Im,FAO data based on imputation methodology
Crops,16,Bangladesh,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1161685,,Official data
Crops,23,Belize,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,45,,Official data
Crops,53,Benin,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,15570,Im,FAO data based on imputation methodology
Crops,18,Bhutan,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,545,Im,FAO data based on imputation methodology
Crops,19,Bolivia (Plurinational State of),5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,17198,,Official data
Crops,21,Brazil,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1417149,,Official data
Crops,233,Burkina Faso,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,13525,Im,FAO data based on imputation methodology
Crops,35,Cabo Verde,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,3284,,Official data
Crops,115,Cambodia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,67001,Im,FAO data based on imputation methodology
Crops,32,Cameroon,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,887,Im,FAO data based on imputation methodology
Crops,36,Cayman Islands,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,32,Im,FAO data based on imputation methodology
Crops,37,Central African Republic,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,11386,Im,FAO data based on imputation methodology
Crops,39,Chad,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,35101,Im,FAO data based on imputation methodology
Crops,351,China,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,4771038,A,"Aggregate, may include official, semi-official, estimated or calculated data"
Crops,41,"China, mainland",5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,4664272,Im,FAO data based on imputation methodology
Crops,214,"China, Taiwan Province of",5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,106766,,Official data
Crops,44,Colombia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,314034,Im,FAO data based on imputation methodology
Crops,46,Congo,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,43598,Im,FAO data based on imputation methodology
Crops,47,Cook Islands,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,234,Im,FAO data based on imputation methodology
Crops,48,Costa Rica,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,38642,,Official data
Crops,107,Côte d'Ivoire,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,56999,Im,FAO data based on imputation methodology
Crops,49,Cuba,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,420191,,Official data
Crops,250,Democratic Republic of the Congo,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,259803,Im,FAO data based on imputation methodology
Crops,72,Djibouti,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,582,Im,FAO data based on imputation methodology
Crops,55,Dominica,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1946,Im,FAO data based on imputation methodology
Crops,56,Dominican Republic,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,17541,Im,FAO data based on imputation methodology
Crops,58,Ecuador,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,82246,,Official data
Crops,59,Egypt,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1277008,Im,FAO data based on imputation methodology
Crops,60,El Salvador,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,27872,,Official data
Crops,238,Ethiopia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,124863,Im,FAO data based on imputation methodology
Crops,66,Fiji,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,133,Im,FAO data based on imputation methodology
Crops,69,French Guiana,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2996,Im,FAO data based on imputation methodology
Crops,75,Gambia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1491,Im,FAO data based on imputation methodology
Crops,81,Ghana,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,99358,*,Unofficial figure
Crops,86,Grenada,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1653,Im,FAO data based on imputation methodology
Crops,87,Guadeloupe,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,1837,Im,FAO data based on imputation methodology
Crops,88,Guam,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,81,Im,FAO data based on imputation methodology
Crops,89,Guatemala,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,124439,,Official data
Crops,90,Guinea,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,175070,Im,FAO data based on imputation methodology
Crops,175,Guinea-Bissau,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,8950,Im,FAO data based on imputation methodology
Crops,91,Guyana,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,6334,,Official data
Crops,93,Haiti,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,670878,Im,FAO data based on imputation methodology
Crops,95,Honduras,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,25723,Im,FAO data based on imputation methodology
Crops,100,India,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,18779000,,Official data
Crops,101,Indonesia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2184399,,Official data
Crops,102,Iran (Islamic Republic of),5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,43376,Im,FAO data based on imputation methodology
Crops,105,Israel,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,44801,,Official data
Crops,109,Jamaica,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2711,Im,FAO data based on imputation methodology
Crops,110,Japan,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,3224,Im,FAO data based on imputation methodology
Crops,114,Kenya,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,734658,Im,FAO data based on imputation methodology
Crops,120,Lao People's Democratic Republic,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,4858,Im,FAO data based on imputation methodology
Crops,129,Madagascar,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,287908,Im,FAO data based on imputation methodology
Crops,130,Malawi,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,134991,Im,FAO data based on imputation methodology
Crops,131,Malaysia,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,102046,,Official data
Crops,132,Maldives,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,54,Im,FAO data based on imputation methodology
Crops,133,Mali,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,15390,,Official data
Crops,135,Martinique,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,223,Im,FAO data based on imputation methodology
Crops,138,Mexico,5510,Production,571,"Mangoes, mangosteens, guavas",2016,2016,tonnes,2197313,,Official data
